TEXT,TYPE
I will cut out the heart of your formation in a single command!,ins_gen
I shall revel in your destruction before my Black Tortoise stratagem!,ins_gen
I see your best is merely textbook military tactics…,ins_gen
Die swiftly before my valiant forces!,ins_gen
You are weaking before my Amber Flame strategy!,ins_gen
You lack the wisdom to counter my tactics!,ins_gen
You are a pitiful commander! Your tactics are tepid.,ins_gen
Hah! You are too pathetic to survive an encounter with my tactics!,ins_gen
I will revel in your destruction at the hands of my Four Auspicious Beasts formation!,ins_gen
"You will lose, crushed before my Magenta Pillar formation!",ins_gen
You are finished! Soon to be destroyed at the hands of my Umber Shrub formation!,ins_gen
Where is your reserve force? Did you even think to deploy a reserve?...,ins_gen
Only the grave awaits as reward for such uninspired generalship…,ins_gen
I will have your head with a single wave of my crane feather fan!,ins_gen
Your ruse is sloppy! I shall avoid such tricks!,ins_gen
Your mangled tactics need improvement!,ins_gen
I expected a better plan of action from a general such as you.,ins_gen
"They said you were an inspired commander, can you counter this tactic?",ins_gen
This is the end of the first phase! Shall I unleash the elite troops?,ins_gen
You cannot survive the traps I have laid for you!,ins_gen
Have you no ability to recognize this formation?,ins_gen
I take no pleasure in crushing such a weedy minded commander.,ins_gen
"I hope they remember your deeds, few as they may be.",ins_gen
Your time is up! Prepare to execute Cherry Blossom tactics!,ins_gen
Is this your first time to face the Crimson Lotus formation?,ins_gen
Have I beaten you with this tactic before?,ins_gen
Be helpful and march into my trap! Prepare the Porcelain Bowl formation!,ins_gen
You must be tired… soon it will be time to reveal our full battle strategy…,ins_gen
Impressively foolish to advance against my Vermilion Bird formation!,ins_gen
You will regret ever facing my forces with such unsophisticated tactics!,ins_gen
"Hah, you completely missed the counter to my tactics! As expected…",ins_gen
"I am, so far, deeply unimpressed by your stunted strategy…",ins_gen
"Find your focus, or I will surely rout all your forces swiftly!",ins_gen
You fight as a fish finding water - flapping about blind and helpless!,ins_gen
"You are no tactician, so easily tricked! Soon all will be revealed…",ins_gen
It is time for you to die before my devilish Snake formation!,ins_gen
"As the mighty oak falls, so must you! All troops, attack!",ins_gen
"No matter the cost, I am committed to my Ten Talents ploy…",ins_gen
Your doom is now! Time to launch my divine strategy!,ins_gen
