TEXT,TYPE
"Your words are as pathetic as you are! A wasted life, with no useful service.",ins_gen RESPONSE
"Blathering and blundering about, right into my trap…",ins_gen RESPONSE
Shut up and die before my finely deployed forces!,ins_gen RESPONSE
Witness my majestic counter maneuverer!,ins_gen RESPONSE
You dare to speak to me? You have no abilities or merit of any sort.,ins_gen RESPONSE
You belittle yourself with your elementary force deployment!,ins_gen RESPONSE
Talk all you want – your maneuvers will be countered.,ins_gen RESPONSE
Employing the 'deceive the heavens to cross the sea' stratagem? Very wise…,ins_gen RESPONSE
Silence!  I shall not devour what nonsense you're talking now.,ins_gen RESPONSE
"You are truly a pathetic creature, who ought to lie low and preserve your meager fortunes.",ins_gen RESPONSE
"You are all bluster with no substance, no skill!",ins_gen RESPONSE
You shall be swept aside by my divine tactics!,ins_gen RESPONSE
An incorrect time to deploy the 'lure a tiger off its mountain lair' stratagem…,ins_gen RESPONSE
Enough! I shall not suffer surly worms like you!,ins_gen RESPONSE
"You bore me! In terms of undeserved recognition, none can surpass you.",ins_gen RESPONSE
Do you intend to fight this poorly?,ins_gen RESPONSE
Do you ever stop attempting such trickery?,ins_gen RESPONSE
Your bravado outmatches your skill! What arrogance!,ins_gen RESPONSE
Particularly pathetic!,ins_gen RESPONSE
"No, no, that won't do. I will not fall for your trickery.",ins_gen RESPONSE
"Talk, talk, talk! Always wagging your tongue too freely.",ins_gen RESPONSE
Miscreant! Silence you simpleton!,ins_gen RESPONSE
"You lack honour, scurry away and hide in dark places befitting of the rat you are.",ins_gen RESPONSE
Your words are as spineless as a dog with a broken backbone.,ins_gen RESPONSE
"Oh, is this a tactic taught to the diminutive of mind?",ins_gen RESPONSE
"You continue to talk, clucking about as a squatting hen.",ins_gen RESPONSE
"This tactic, is it of your own creation? Revealing indeed…",ins_gen RESPONSE
You reveal your abominable nature clearly.,ins_gen RESPONSE
Who are you to challenge my stratagems!?,ins_gen RESPONSE
This simply does not appear like the wisest action.,ins_gen RESPONSE
"Try whatever you must, beggarly giglet!",ins_gen RESPONSE
Pathetic! What foul trickery you employ!,ins_gen RESPONSE
That was your best blow? It is clear you are physically and mentally stunted.,ins_gen RESPONSE
"A pitiful attempt from a pitiful minded ""warrior"".",ins_gen RESPONSE
You cannot hope to match my brilliance!,ins_gen RESPONSE
I will enjoy watching you fall before my tactics!,ins_gen RESPONSE
Perhaps you should direct your prattling wind to command your men?,ins_gen RESPONSE
"Fight, you fool! Stop talking as I take your head!",ins_gen RESPONSE
I shall not fall prey to the ploys of a dullard child such as you.,ins_gen RESPONSE
"Are you angry? You are nothing but a slavish, brute, beast.",ins_gen RESPONSE
"You are dull and lacking in ambition, as well as morals.",ins_gen RESPONSE
I will not be tricked by your 'borrow a corpse to resurrect the soul' stratagem…,ins_gen RESPONSE
"Big words, small skill for one who dares defy the will of Heaven!",ins_gen RESPONSE
"You speak well, for an infant lacking eloquence.",ins_gen RESPONSE
I have seen greater tactics from squawking ducks!,ins_gen RESPONSE
You look gaunt. How are your supplies?,ins_gen RESPONSE
I question your risky gambit for victory!,ins_gen RESPONSE
There is nothing you can do to weaken my resolve!,ins_gen RESPONSE
Enough expository nonsense! Retire you villain!,ins_gen RESPONSE
Your 'shut the door to catch the thief' stratagem will not surprise me…,ins_gen RESPONSE
"On and on and on, nothing but foolish machinations…",ins_gen RESPONSE
"If you live, try seeking wisdom instead of pleasures…",ins_gen RESPONSE
Be silent and face my blade you hoary-headed cretin!,ins_gen RESPONSE
"Hah! The old 'loot a burning house' stratagem, I know it well…",ins_gen RESPONSE
Your threats are easily countered!,ins_gen RESPONSE
Unsurprising to hear such empty words from an empty minded head. ,ins_gen RESPONSE
It saddens me to watch you behave so foolishly…,ins_gen RESPONSE
As expected - your words and stratagems fall short.,ins_gen RESPONSE
What a common ploy! I see through your plans!,ins_gen RESPONSE
You must expand your stratagems beyond the basic textbooks!,ins_gen RESPONSE
"Ah, a classic maneuver from the military textbooks…",ins_gen RESPONSE
Your foolish ploys will be defeated here!,ins_gen RESPONSE
Your destiny is to fail to achieve your ambitions!,ins_gen RESPONSE
